Timestamp,x_err,y_err,x_out,y_out,a_theta,b_theta,c_theta
1780996125.0027142,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.040519,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.040757,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.044464,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.059565,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.0708852,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.085948,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.0972888,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.1124501,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.169813,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.1700668,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.1703,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.170523,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.1812851,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.1961799,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.207125,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.221886,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.248634,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.2489028,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.262272,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.276957,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.288054,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.302727,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.3143969,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.3292348,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.364597,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.364865,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.369638,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.384299,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.395273,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.4100091,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.421026,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.4357948,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.450544,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.461427,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.476115,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.490907,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.502141,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.516452,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.5276978,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.54236,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.575776,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.576213,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.582583,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.597255,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.608923,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.622991,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.6345742,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.6494222,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.664011,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.674998,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.6898031,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.704432,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.715463,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.7302568,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.741277,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780996125.75635,61.239,5.571,0.08,0.007,278.606,244.516,256.269
1780996125.7958772,61.07,5.929,0.079,0.008,278.663,244.606,256.128
1780996125.796304,61.296,6.143,0.08,0.008,278.861,244.57,256.052
1780996125.797406,61.577,6.071,0.08,0.008,278.998,244.474,256.083
1780996125.8121212,61.69,6.143,0.081,0.008,279.083,244.45,256.061
1780996125.8231559,61.69,6.143,0.081,0.008,279.083,244.45,256.061
1780996125.838132,61.69,6.143,0.081,0.008,279.083,244.45,256.061
1780996125.852865,60.901,6.571,0.079,0.009,278.785,244.735,255.905
1780996125.864623,60.901,6.571,0.079,0.009,278.785,244.735,255.905
1780996125.879626,55.831,4.929,0.071,0.006,275.605,245.883,256.565
1780996125.8943748,55.831,4.929,0.071,0.006,275.605,245.883,256.565
1780996125.9054039,51.775,3.571,0.064,0.004,273.26,246.8,257.108
1780996125.9202912,45.803,1.286,0.054,-0.0,270.14,248.047,257.985
1780996125.935282,43.211,0.214,0.05,-0.002,268.89,248.556,258.387
1780996125.946623,39.887,-0.214,0.046,-0.002,267.739,249.296,258.473
1780996125.961772,36.394,-0.786,0.041,-0.003,266.679,249.974,258.588
1780996125.9767869,33.803,-1.143,0.039,-0.003,266.016,250.433,258.634
1780996126.016639,31.775,-1.143,0.036,-0.003,265.488,250.887,258.578
1780996126.017063,30.197,-1.0,0.034,-0.002,265.026,251.32,258.497
1780996126.017579,25.803,-1.429,0.028,-0.003,263.479,252.439,258.639
1780996126.032563,22.085,-1.571,0.023,-0.003,262.474,253.28,258.641
1780996126.0444648,17.577,-2.214,0.016,-0.004,260.943,254.404,258.871
1780996126.059427,13.183,-3.357,0.011,-0.005,259.559,255.28,259.285
1780996126.074539,9.746,-3.071,0.006,-0.005,258.697,256.249,259.121
1780996126.089493,4.958,-3.714,-0.001,-0.006,257.197,257.504,259.346
1780996126.100626,0.676,-3.857,-0.006,-0.006,256.174,258.548,259.351
1780996126.115753,-2.085,-3.929,-0.01,-0.006,255.375,259.379,259.362
1780996126.130419,-5.746,-3.0,-0.016,-0.004,254.489,260.759,258.958
1780996126.145353,-9.634,-2.214,-0.022,-0.003,253.526,262.204,258.625
1780996126.1566038,-13.521,-1.643,-0.027,-0.002,252.717,263.408,258.397
1780996126.171901,-17.127,-1.429,-0.031,-0.001,251.941,264.435,258.328
1780996126.1867552,-20.958,-0.5,-0.035,0.0,251.362,265.56,257.983
1780996126.201338,-30.761,0.286,-0.051,0.001,248.758,269.487,257.676
1780996126.241121,-26.254,0.143,-0.042,0.001,250.298,267.217,257.767
1780996126.2415621,-30.592,0.929,-0.048,0.002,249.235,269.076,257.457
1780996126.242074,-32.901,1.357,-0.051,0.003,248.898,269.733,257.324
1780996126.253183,-32.901,1.357,-0.051,0.003,248.898,269.733,257.324
1780996126.268817,-38.873,2.714,-0.06,0.005,247.473,272.617,256.79
1780996126.2830431,-39.775,2.786,-0.061,0.005,247.376,272.765,256.795
1780996126.2978802,-39.775,2.786,-0.061,0.005,247.376,272.765,256.795
1780996126.3095071,-45.183,3.786,-0.068,0.007,246.268,275.096,256.457
1780996126.324308,-45.972,4.0,-0.069,0.007,246.225,275.246,256.407
1780996126.339242,-45.972,4.0,-0.069,0.007,246.225,275.246,256.407
1780996126.354103,-50.31,4.571,-0.075,0.007,245.356,277.059,256.239
1780996126.36573,-50.31,4.571,-0.075,0.007,245.356,277.059,256.239
1780996126.38044,-53.296,5.357,-0.078,0.008,244.908,278.3,255.994
1780996126.395343,-53.352,5.5,-0.077,0.009,245.044,278.073,255.973
1780996126.406453,-54.423,5.571,-0.078,0.009,244.866,278.414,255.974
1780996126.421399,-54.535,5.286,-0.076,0.008,245.087,277.678,256.166
1780996126.460247,-54.761,4.786,-0.076,0.007,245.098,277.292,256.395
1780996126.4606662,-54.028,4.714,-0.073,0.006,245.477,276.493,256.459
1780996126.4624178,-53.521,5.143,-0.072,0.007,245.781,276.182,256.306
1780996126.4774148,-52.507,4.286,-0.069,0.006,246.017,275.228,256.661
1780996126.4923038,-51.549,3.929,-0.068,0.005,246.281,274.568,256.799
1780996126.5041962,-49.859,3.929,-0.065,0.005,246.785,273.728,256.796
1780996126.51919,-48.338,3.429,-0.062,0.004,247.12,272.916,256.982
1780996126.534249,-47.831,3.286,-0.061,0.004,247.231,272.666,257.033
1780996126.5493991,-45.972,2.714,-0.058,0.003,247.644,271.722,257.248
1780996126.560621,-43.268,1.571,-0.054,0.001,248.169,270.367,257.667
1780996126.575926,-40.563,0.357,-0.05,-0.001,248.666,269.082,258.104
1780996126.5907042,-38.197,0.071,-0.047,-0.001,249.206,268.246,258.16
1780996126.605856,-36.394,0.429,-0.044,-0.0,249.726,267.742,257.978
1780996126.617035,-33.239,0.143,-0.04,-0.0,250.488,266.621,258.053
1780996126.6322958,-30.31,-0.071,-0.036,-0.001,251.175,265.66,258.105
1780996126.647184,-26.761,0.071,-0.031,-0.0,252.121,264.562,258.016
1780996126.686086,-23.549,-0.571,-0.027,-0.001,252.805,263.458,258.256
