Timestamp,x_err,y_err,x_out,y_out,a_theta,b_theta,c_theta
1780997930.4415429,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.480784,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.481034,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.481261,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.48148,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.4817011,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.481924,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.482144,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.482362,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.482581,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.482796,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.483011,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.492503,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.507189,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.51822,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.532974,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.543895,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.605294,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.605587,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.605819,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.606046,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.614006,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.62479,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.639468,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.650361,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.6854131,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.685657,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.691364,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.705421,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.720103,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.732028,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.746484,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.757499,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.7811751,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.7870982,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.7978969,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.812635,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.8272882,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.8382359,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.852963,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780997930.864206,0.0,0.0,0.0,0.0,258.008,258.008,258.008
