Timestamp,x_parc,y_parc,x_out,y_out,a_pos,b_pos,c_pos
1780193180.493518,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.5484958,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.595073,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.6338189,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.661055,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.685009,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.6975381,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.722883,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.745731,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.7690282,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.793647,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.817027,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.846923,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.8751051,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.9016309,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.926882,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.952322,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193180.98001,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.007124,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.030132,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.057406,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.080178,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.1068878,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.129696,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.156702,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.179895,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.2070389,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.229614,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.253616,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.2661529,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.291559,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.31458,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.339882,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.3629172,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.3861408,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.39862,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.4239402,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.446775,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.474468,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.499187,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.5266151,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.55136,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.576596,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.599993,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.624776,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.6486888,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.6751208,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.699062,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.72516,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.747945,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.772863,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.795315,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.8184042,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.842884,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.865335,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.8902552,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.912757,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.935725,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.9479198,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.9726348,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193181.995028,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.0203478,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.0494258,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.079656,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.109909,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.140893,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.165765,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.191527,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.214271,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.239297,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.2619379,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.285814,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.2981172,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.324768,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.347271,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.370247,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.382414,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.4074152,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.429909,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.452776,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.4649322,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.489816,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.512987,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.5362382,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.55938,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.58217,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.606869,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.629768,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.6528199,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.6756952,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.6987278,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.7234619,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.746367,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.769463,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.781641,0.0,0.0,0.062,-0.012,-318,-318,-318
1780193182.8065012,0.0,0.0,0.062,-0.012,-318,-318,-318
